family	dist_name	r_concentration	n	direct_K	tia_K	look1_K	look2_K	tia_gain	look1_extra	look2_extra	mean_dk_active	max_dk	look2_T_ratio
ba	p2_50_p3_50	top05	6	256.17	255.83	31.50	31.50	0.33	224.33	0.00	63.95	74.50	0.28
ba	p1_100	spread	6	256.17	255.17	255.17	255.17	1.00	0.00	0.00	1.00	1.00	0.02
ba	p2_50_p3_50	low20	6	256.17	255.83	212.83	212.83	0.33	43.00	0.00	4.85	5.50	0.10
ba	p1_100	random	6	256.17	254.83	254.83	254.83	1.33	0.00	0.00	1.22	3.17	0.02
ba	p2_50_p3_50	low05	6	256.17	255.83	113.33	113.33	0.33	142.50	0.00	63.95	74.50	0.18
ba	p1_100	top20	6	256.17	255.00	255.00	255.00	1.17	0.00	0.00	1.98	2.17	0.02
ba	p2_50_p3_50	randtop20	6	256.17	255.83	155.33	151.00	0.33	100.50	4.33	4.85	5.50	0.18
ba	p1_100	top05	6	256.17	191.50	191.50	191.50	64.67	0.00	0.00	65.31	65.67	0.09
ba	p2_50_p3_50	randtop05	6	256.17	255.83	39.83	39.83	0.33	216.00	0.00	63.95	74.50	0.27
ba	p1_100	low20	6	256.17	254.33	254.33	254.33	1.83	0.00	0.00	1.98	2.17	0.02
ba	p1_100	low05	6	256.17	191.17	191.17	191.17	65.00	0.00	0.00	65.31	65.67	0.09
ba	p1_100	randtop20	6	256.17	254.67	254.17	254.17	1.50	0.50	0.00	1.98	2.17	0.02
ba	p1_100	randtop05	6	256.17	191.83	191.83	191.83	64.33	0.00	0.00	65.31	65.67	0.09
ba	p2_100	spread	6	256.17	256.17	255.67	255.67	0.00	0.50	0.00	1.11	1.33	0.02
ba	p2_100	random	6	256.17	256.17	255.67	255.67	0.00	0.50	0.00	1.45	4.83	0.02
ba	p2_100	top20	6	256.17	256.17	162.17	162.17	0.00	94.00	0.00	3.91	4.17	0.16
ba	p2_100	top05	6	256.17	256.17	31.33	31.33	0.00	224.83	0.00	71.11	71.50	0.28
ba	p2_100	low20	6	256.17	256.17	230.33	230.33	0.00	25.83	0.00	3.91	4.17	0.06
ba	p2_100	low05	6	256.17	256.17	111.00	111.00	0.00	145.17	0.00	71.11	71.50	0.18
ba	p2_100	randtop20	6	256.17	256.17	168.50	163.83	0.00	87.67	4.67	3.91	4.17	0.15
ba	p2_100	randtop05	6	256.17	256.17	39.33	39.33	0.00	216.83	0.00	71.11	71.50	0.27
ba	p3_100	spread	6	256.17	256.17	256.17	256.17	0.00	0.00	0.00	1.37	1.67	0.02
ba	p3_100	random	6	256.17	256.17	256.17	256.17	0.00	0.00	0.00	1.72	5.50	0.02
ba	p3_100	top20	6	256.17	256.17	256.17	141.83	0.00	0.00	114.33	5.83	6.33	0.20
ba	p3_100	top05	6	256.17	256.17	256.17	31.50	0.00	0.00	224.67	76.92	77.50	0.28
ba	p3_100	low20	6	256.17	256.17	256.17	224.50	0.00	0.00	31.67	5.83	6.33	0.08
ba	p3_100	low05	6	256.17	256.17	256.17	115.83	0.00	0.00	140.33	76.92	77.50	0.17
ba	p3_100	randtop20	6	256.17	256.17	256.17	152.33	0.00	0.00	103.83	5.83	6.33	0.18
ba	p3_100	randtop05	6	256.17	256.17	256.17	40.33	0.00	0.00	215.83	76.92	77.50	0.27
ba	p4_100	spread	6	256.17	250.17	250.17	250.17	6.00	0.00	0.00	1.66	2.00	0.03
ba	p4_100	random	6	256.17	250.17	250.17	250.17	6.00	0.00	0.00	2.00	6.33	0.03
ba	p4_100	top20	6	256.17	250.17	250.17	250.17	6.00	0.00	0.00	7.58	8.33	0.03
ba	p4_100	top05	6	256.17	250.17	250.17	250.17	6.00	0.00	0.00	82.11	83.17	0.03
ba	p4_100	low20	6	256.17	250.17	250.17	250.17	6.00	0.00	0.00	7.58	8.33	0.03
ba	p4_100	low05	6	256.17	250.17	250.17	250.17	6.00	0.00	0.00	82.11	83.17	0.03
ba	p4_100	randtop20	6	256.17	250.17	250.17	250.17	6.00	0.00	0.00	7.58	8.33	0.03
ba	p4_100	randtop05	6	256.17	250.17	250.17	250.17	6.00	0.00	0.00	82.11	83.17	0.03
ba	p0_50_p1_50	spread	6	256.17	127.17	127.17	127.17	129.00	0.00	0.00	1.00	1.00	0.15
ba	p0_50_p1_50	random	6	256.17	127.00	127.00	127.00	129.17	0.00	0.00	1.08	2.50	0.15
ba	p0_50_p1_50	top20	6	256.17	127.67	127.67	127.67	128.50	0.00	0.00	1.22	1.33	0.15
ba	p0_50_p1_50	top05	6	256.17	96.17	96.17	96.17	160.00	0.00	0.00	32.57	32.83	0.18
ba	p0_50_p1_50	low20	6	256.17	127.00	127.00	127.00	129.17	0.00	0.00	1.22	1.33	0.15
ba	p0_50_p1_50	low05	6	256.17	96.00	96.00	96.00	160.17	0.00	0.00	32.57	32.83	0.18
ba	p0_50_p1_50	randtop20	6	256.17	127.00	126.83	126.83	129.17	0.17	0.00	1.22	1.33	0.15
ba	p0_50_p1_50	randtop05	6	256.17	96.50	96.50	96.50	159.67	0.00	0.00	32.57	32.83	0.18
ba	p0_20_p1_40_p2_40	spread	6	256.17	204.17	204.17	204.17	52.00	0.00	0.00	1.00	1.00	0.07
