family	view	group	n	direct	tia	look1	look2	target
ba	dr_structure	base	6	256.167	235.000	234.667	234.667	4.300
ba	dr_structure	p0_50_p1_50	48	256.167	115.562	115.542	115.542	16.156
ba	dr_structure	p1_100	48	256.167	231.062	231.000	231.000	4.617
ba	dr_structure	p2_100	48	256.167	256.167	156.750	156.167	14.173
ba	dr_structure	p3_100	48	256.167	256.167	256.167	152.333	15.071
ba	dr_structure	p4_100	48	256.167	250.167	250.167	250.167	2.600
ba	dr_structure	p0_20_p1_40_p2_40	48	256.167	134.062	133.979	133.979	16.015
ba	dr_structure	p1_33_p2_34_p3_33	48	256.167	161.875	155.417	155.396	14.642
ba	dr_structure	p2_50_p3_50	48	256.167	255.833	153.542	150.146	15.440
ba	rk_concentration	spread	48	256.167	232.500	232.375	232.333	4.467
ba	rk_concentration	random	48	256.167	232.333	232.167	232.167	4.500
ba	rk_concentration	randtop20	48	256.167	223.229	198.083	183.979	11.646
ba	rk_concentration	randtop05	48	256.167	173.333	119.229	92.250	20.231
er	dr_structure	base	6	91.500	90.667	90.667	90.667	2.104
er	dr_structure	p0_50_p1_50	48	91.500	45.438	45.438	45.438	6.694
er	dr_structure	p1_100	48	91.500	90.708	90.708	90.708	2.160
er	dr_structure	p2_100	48	91.500	91.500	75.896	75.896	4.415
er	dr_structure	p3_100	48	91.500	91.500	91.500	74.812	4.899
er	dr_structure	p4_100	48	91.500	89.833	89.833	89.833	2.189
er	dr_structure	p0_20_p1_40_p2_40	48	91.500	64.792	64.354	64.354	5.355
er	dr_structure	p1_33_p2_34_p3_33	48	91.500	84.000	75.271	75.188	4.544
er	dr_structure	p2_50_p3_50	48	91.500	91.333	75.625	74.917	4.786
er	rk_concentration	spread	48	91.500	83.146	83.146	83.146	2.869
er	rk_concentration	random	48	91.500	82.854	82.854	82.854	2.927
er	rk_concentration	randtop20	48	91.500	83.188	83.188	83.188	2.860
er	rk_concentration	randtop05	48	91.500	77.917	64.521	58.583	6.907
ws	dr_structure	base	6	37.500	37.167	37.167	36.833	2.150
ws	dr_structure	p0_50_p1_50	48	37.500	18.667	18.667	18.667	3.883
ws	dr_structure	p1_100	48	37.500	37.292	37.292	37.292	2.042
ws	dr_structure	p2_100	48	37.500	37.167	36.646	36.646	2.163
ws	dr_structure	p3_100	48	37.500	34.333	34.333	33.917	2.473
ws	dr_structure	p4_100	48	37.500	32.500	32.500	32.500	2.500
ws	dr_structure	p0_20_p1_40_p2_40	48	37.500	29.667	29.479	29.479	2.840
ws	dr_structure	p1_33_p2_34_p3_33	48	37.500	37.167	37.167	36.625	2.183
